날짜,평균속도
2021.04.16,102.63
2021.04.16,105.88
2021.04.15,105.01
2021.04.15,100.16
2021.04.15,99.53
2021.04.15,97.3
2021.04.15,101.59
2021.04.15,104.52
2021.04.15,103.5
2021.04.15,102.65
2021.04.15,101.99
2021.04.15,99.74
2021.04.15,93.55
2021.04.15,94.68
2021.04.15,98.13
2021.04.15,95.91
2021.04.15,96.23
2021.04.15,98.91
2021.04.15,100.65
2021.04.15,101.09
2021.04.15,102.83
2021.04.15,99.5
2021.04.15,98.9
2021.04.15,102.11
2021.04.15,104.12
2021.04.15,106.45
2021.04.14,103.69
2021.04.14,100.52
2021.04.14,98.78
2021.04.14,96.87
2021.04.14,102.51
2021.04.14,103.57
2021.04.14,99.02
2021.04.14,96.71
2021.04.14,100.96
2021.04.14,98.08
2021.04.14,86.26
2021.04.14,94.72
2021.04.14,98.15
2021.04.14,96.79
2021.04.14,97.87
2021.04.14,100.5
2021.04.14,102.03
2021.04.14,101.93
2021.04.14,102.85
2021.04.14,97.33
2021.04.14,99.29
2021.04.14,102.26
2021.04.14,104.81
2021.04.14,106.39
2021.04.13,59.54
2021.04.13,56.76
2021.04.13,54.33
2021.04.13,57.98
2021.04.13,63.49
2021.04.13,71.42
2021.04.13,93.8
2021.04.13,105.75
2021.04.13,102.23
2021.04.13,100.74
2021.04.13,79.32
2021.04.13,73.78
2021.04.13,97
2021.04.13,96.32
2021.04.13,100.75
2021.04.13,99.23
2021.04.13,103.26
2021.04.13,100.74
2021.04.13,104.56
2021.04.13,100.41
2021.04.13,99.68
2021.04.13,103.37
2021.04.13,104.72
2021.04.13,105.01
2021.04.12,105.64
2021.04.12,103.34
2021.04.12,100.55
2021.04.12,100.43
2021.04.12,104.37
2021.04.12,98.78
2021.04.12,101.75
2021.04.12,105.21
2021.04.12,104.15
2021.04.12,99.8
2021.04.12,97.22
2021.04.12,96.22
2021.04.12,96.29
2021.04.12,96.34
2021.04.12,97.07
2021.04.12,93.96
2021.04.12,92
2021.04.12,81.48
2021.04.12,61.91
2021.04.12,36.02
2021.04.12,42.86
2021.04.12,63.21
2021.04.12,65.1
2021.04.12,59.5
2021.04.11,105.16
2021.04.11,104.37
2021.04.11,103.32
2021.04.11,101.76
2021.04.11,100.86
2021.04.11,108.51
2021.04.11,112.58
2021.04.11,110.94
2021.04.11,106.89
2021.04.11,102.05
2021.04.11,98.51
2021.04.11,100.65
2021.04.11,103.49
2021.04.11,101.14
2021.04.11,99.91
2021.04.11,104.14
2021.04.11,104.43
2021.04.11,107.17
2021.04.11,106.65
2021.04.11,99.27
2021.04.11,97.16
2021.04.11,99.61
2021.04.11,102.07
2021.04.11,107.03
2021.04.10,101.99
2021.04.10,102.88
2021.04.10,99.98
2021.04.10,101.05
2021.04.10,103.1
2021.04.10,100.59
2021.04.10,97.84
2021.04.10,100.29
2021.04.10,102.46
2021.04.10,99.33
2021.04.10,100.37
2021.04.10,101.88
2021.04.10,102.15
2021.04.10,102.06
2021.04.10,100.67
2021.04.10,104.08
2021.04.10,104.52
2021.04.10,107.87
2021.04.10,101.21
2021.04.10,101.03
2021.04.10,97.24
2021.04.10,100.12
2021.04.10,102.15
2021.04.10,105.84
2021.04.09,95.23
2021.04.09,94.09
2021.04.09,92.46
2021.04.09,91.98
2021.04.09,95.92
2021.04.09,96.18
2021.04.09,101.06
2021.04.09,102.88
2021.04.09,103.72
2021.04.09,98.94
2021.04.09,94.14
2021.04.09,86.94
2021.04.09,96.32
2021.04.09,97.51
2021.04.09,97.92
2021.04.09,103.17
2021.04.09,105.25
2021.04.09,101.74
2021.04.09,99.64
2021.04.09,62.74
2021.04.09,96.22
2021.04.09,97.3
2021.04.09,98.66
2021.04.09,102.56
2021.04.08,95.61
2021.04.08,94.94
2021.04.08,91.56
2021.04.08,91.02
2021.04.08,93.16
2021.04.08,98.1
2021.04.08,101.66
2021.04.08,104.12
2021.04.08,104.8
2021.04.08,104.26
2021.04.08,97.6
2021.04.08,95.89
2021.04.08,98.46
2021.04.08,97.88
2021.04.08,99.95
2021.04.08,104.29
2021.04.08,107.26
2021.04.08,105.3
2021.04.08,106.64
2021.04.08,97.34
2021.04.08,96.28
2021.04.08,99.18
2021.04.08,99.2
2021.04.08,100.13
2021.04.07,102.2
2021.04.07,100.08
2021.04.07,98.43
2021.04.07,96.81
2021.04.07,100.15
2021.04.07,103.54
2021.04.07,104.15
2021.04.07,104.02
2021.04.07,103.44
2021.04.07,101.76
2021.04.07,97.69
2021.04.07,99.17
2021.04.07,99
2021.04.07,101.5
2021.04.07,100.36
2021.04.07,102.67
2021.04.07,105.06
2021.04.07,104.56
2021.04.07,106.46
2021.04.07,98.47
2021.04.07,97.3
2021.04.07,98.61
2021.04.07,99.69
2021.04.07,100.85
2021.04.06,101.32
2021.04.06,100.72
2021.04.06,99.5
2021.04.06,97.45
2021.04.06,100.52
2021.04.06,101.55
2021.04.06,101.99
2021.04.06,101.76
2021.04.06,101.89
2021.04.06,99.93
2021.04.06,69.81
2021.04.06,95.35
2021.04.06,100.52
2021.04.06,98.89
2021.04.06,100.01
2021.04.06,101.15
2021.04.06,102.79
2021.04.06,104.64
2021.04.06,104.22
2021.04.06,99.2
2021.04.06,99.59
2021.04.06,103.38
2021.04.06,104.28
2021.04.06,105.32
2021.04.05,106.11
2021.04.05,103.92
2021.04.05,102.09
2021.04.05,101
2021.04.05,106.38
2021.04.05,96.66
2021.04.05,100.26
2021.04.05,108.68
2021.04.05,108.82
2021.04.05,100.79
2021.04.05,93.84
2021.04.05,100.25
2021.04.05,101.36
2021.04.05,101.76
2021.04.05,100.35
2021.04.05,100.93
2021.04.05,105.24
2021.04.05,104.23
2021.04.05,104.79
2021.04.05,98.86
2021.04.05,99.22
2021.04.05,103.12
2021.04.05,103.8
2021.04.05,105.84
2021.04.04,70.63
2021.04.04,68.21
2021.04.04,66.25
2021.04.04,61.7
2021.04.04,62.71
2021.04.04,69.96
2021.04.04,93.77
2021.04.04,110.68
2021.04.04,110.05
2021.04.04,105.09
2021.04.04,102.74
2021.04.04,103.68
2021.04.04,105.12
2021.04.04,103.33
2021.04.04,104.94
2021.04.04,103
2021.04.04,105.19
2021.04.04,106.86
2021.04.04,106.37
2021.04.04,98.21
2021.04.04,96.21
2021.04.04,99.75
2021.04.04,103.05
2021.04.04,107.84
2021.04.03,102.99
2021.04.03,101.36
2021.04.03,101.84
2021.04.03,101.02
2021.04.03,100.53
2021.04.03,101.31
2021.04.03,100.61
2021.04.03,102.1
2021.04.03,99.43
2021.04.03,101.49
2021.04.03,97.65
2021.04.03,93.69
2021.04.03,91.59
2021.04.03,91.29
2021.04.03,90.05
2021.04.03,93.42
2021.04.03,92.86
2021.04.03,84.14
2021.04.03,71.63
2021.04.03,60.13
2021.04.03,69.65
2021.04.03,64.09
2021.04.03,63.37
2021.04.03,76.98
2021.04.02,102.23
2021.04.02,99.59
2021.04.02,98.16
2021.04.02,98.07
2021.04.02,99.94
2021.04.02,100.51
2021.04.02,102.41
2021.04.02,102.18
2021.04.02,103.1
2021.04.02,97.55
2021.04.02,96.4
2021.04.02,95.63
2021.04.02,98.24
2021.04.02,100.23
2021.04.02,98.26
2021.04.02,101.37
2021.04.02,105.88
2021.04.02,101.48
2021.04.02,103.59
2021.04.02,95.58
2021.04.02,94.78
2021.04.02,97.43
2021.04.02,101.38
2021.04.02,103.26
2021.04.01,101.86
2021.04.01,100.2
2021.04.01,98.94
2021.04.01,97.53
2021.04.01,99.69
2021.04.01,101.27
2021.04.01,101.64
2021.04.01,102.57
2021.04.01,101.82
2021.04.01,96.85
2021.04.01,97.98
2021.04.01,97.91
2021.04.01,94.74
2021.04.01,96.69
2021.04.01,98.89
2021.04.01,98.67
2021.04.01,101.55
2021.04.01,102.57
2021.04.01,100.91
2021.04.01,96.35
2021.04.01,97.09
2021.04.01,101.06
2021.04.01,102.07
2021.04.01,104.67
