날짜,평균속도
20210226,55.74
20210226,51.85
20210226,56.42
20210226,55.48
20210226,50.12
20210226,42.29
20210226,35.71
20210226,47.45
20210226,46.51
20210226,52.03
20210226,58.58
20210227,60.04
20210227,61.02
20210227,59.37
20210227,57.97
20210227,56.46
20210227,56.78
20210227,57.03
20210227,56.57
20210227,56.96
20210227,55.67
20210227,55.12
20210227,48.57
20210227,29.42
20210227,42.6
20210227,39.76
20210227,49.41
20210227,44.75
20210227,52.39
20210227,47.59
20210227,41.2
20210227,54.68
20210227,56.78
20210227,57.43
20210227,59.47
20210228,58.54
20210228,58.47
20210228,57.56
20210228,57.64
20210228,57.98
20210228,56.87
20210228,55.86
20210228,56.99
20210228,56.75
20210228,56.52
20210228,55.82
20210228,54.25
20210228,49
20210228,43.68
20210228,43.91
20210228,44.98
20210228,48.15
20210228,54.86
20210228,54.86
20210228,55.35
20210228,56.74
20210228,55.91
20210228,57.62
20210228,58.69
