교통량,평균속도,0010CZS430
4982,85.62,
259,103.72,
4918,86.72,
238,106.98,
4699,84.53,
231,106.85,
4683,79.62,
322,101.77,
4092,84.27,
312,103.86,
4080,85.21,
299,104.54,
4359,95.04,
3016,101.76,
1935,104.02,
1336,103.14,
947,100.59,
699,101.3,
629,99.47,
880,101.62,
1794,103.64,
2777,101.66,
3178,97.42,
233,109.29,
3383,99.44,
170,105.06,
4020,97.32,
188,105.76,
4630,95.37,
252,106.77,
4210,98.32,
225,106.6,
4412,98.47,
229,106.44,
4812,95.23,
228,106.22,
4472,94.45,
218,104.63,
4527,93.56,
212,107.26,
4559,94.03,
217,105.79,
3753,96.84,
210,107.47,
3079,94.3,
190,105.67,
2480,97.64,
172,105.69,
2455,98.22,
144,103.88,
2545,102.99,
1815,104.97,
1257,106.33,
960,104.61,
698,102.56,
516,101.13,
486,99.68,
745,101.47,
1673,105.27,
2830,102.35,
3025,97.04,
216,104.81,
3178,100.88,
175,107.87,
3763,98.78,
205,104.84,
4224,97.8,
210,107.05,
4819,95.17,
212,106.89,
4515,98.92,
185,106.26,
4551,98.4,
199,106.38,
4939,95.14,
208,106.18,
4957,92.76,
237,105.84,
4804,92.36,
220,105.6,
4373,92.26,
233,106.2,
3534,93.34,
213,103.56,
2789,98.32,
179,105.73,
2410,101.26,
144,107.88,
2592,105.44,
1779,106.86,
1161,111.1,
777,109.11,
517,109.76,
340,110.58,
349,102.7,
403,106.18,
806,108.67,
1647,106.62,
2021,103.91,
168,105.69,
2349,108.75,
144,105.93,
3087,106.44,
160,106.54,
3696,102.52,
179,104.97,
3993,101.4,
161,105.95,
4138,101.4,
181,104.44,
4667,98.96,
207,107.89,
4758,97,
229,108.93,
5019,96.75,
230,106.69,
4928,96.01,
212,108.24,
4273,94.09,
183,104.99,
3740,92.42,
228,104.63,
3709,93.55,
244,104.19,
3878,93.48,
205,105.12,
4076,101.93,
3058,105.26,
1895,107.8,
1142,105.87,
800,103.49,
600,102.2,
710,102.92,
1573,105.92,
4162,100.38,
6476,86.94,
5169,79.39,
527,103.22,
4602,62.38,
275,95.77,
4480,91.6,
214,103.26,
5112,87.38,
210,105.05,
4880,90.21,
236,105.18,
4764,91.17,
202,105.89,
4018,94.84,
195,104.35,
4516,91.7,
156,104.91,
4608,90.84,
197,107.24,
4596,90.55,
230,105.37,
4442,88.7,
192,107.95,
4157,84.88,
215,105.06,
3706,85.48,
235,104.26,
3063,93.23,
161,104.91,
2806,100,
2071,101.16,
1395,101.38,
1040,99.67,
783,99.8,
636,97.28,
698,97.11,
955,99.18,
2444,100.13,
4890,94.41,
5072,79.49,
398,102.18,
4848,87.1,
261,104.9,
4821,89.02,
240,104.87,
5038,88.01,
231,105.64,
5005,86.46,
215,105.23,
4943,86.05,
225,104.96,
4762,89.31,
192,105.13,
4298,89.21,
203,105.87,
4432,89,
195,105.66,
4281,88.31,
195,104.26,
4138,83.48,
206,104.43,
4171,80.12,
240,99.58,
3624,83.09,
248,103,
2974,90.95,
175,103.93,
2814,97.04,
1978,98.41,
1334,98.83,
995,96.23,
756,94.85,
598,95.01,
575,94.89,
859,94.06,
2035,97.94,
4287,92.31,
4941,79,
394,102.56,
4800,88.84,
210,104.2,
4667,89.88,
208,104.13,
4915,88.36,
214,105.11,
4655,79.46,
223,105.29,
4731,81.02,
191,103.06,
4527,86.1,
184,108.2,
4582,84.74,
212,106.43,
4519,88.33,
209,108.03,
4638,82.41,
223,103.55,
4444,86.14,
239,105.69,
4357,81.11,
227,103.61,
3642,84.76,
230,104.13,
3104,90.28,
187,104.99,
2907,96.38,
2124,100.35,
1402,101.12,
1077,97.9,
786,97.01,
609,95.31,
591,95.51,
756,96.52,
1699,99.51,
3575,95.82,
4459,84.22,
353,101.02,
4102,93.54,
192,104.12,
3884,95.71,
186,104.81,
4571,91.53,
208,105.9,
5014,89.03,
228,106.63,
4953,91.73,
181,106.1,
4973,89.86,
236,106.37,
4903,87.82,
261,104.93,
4895,87.52,
273,103.34,
4923,87.74,
289,106.75,
4734,84.06,
241,104.97,
4702,77.69,
330,102.26,
4181,83.48,
360,102.58,
3979,87.45,
277,104.44,
3702,96.63,
2642,100.63,
1669,104.04,
1595,110.4,
1094,111.02,
773,109.77,
683,109.36,
809,109.42,
1771,110.49,
2655,105.37,
3078,100.28,
325,104.71,
3364,96.23,
266,104.5,
3969,94.07,
262,105.44,
4428,91.43,
256,104.88,
4725,93.2,
229,105.74,
4734,91.55,
249,104.47,
4525,95.18,
232,104.85,
4685,87.28,
315,103.11,
4434,79.26,
365,100.21,
4919,78.6,
425,98.93,
4629,84.93,
309,102.45,
4645,81.67,
361,100.55,
4665,84.69,
362,101.4,
4385,87.92,
268,102.97,
5136,95.64,
4265,102.36,
2681,107.5,
1577,107.34,
1017,105.84,
760,107.54,
912,108.5,
2051,108.58,
5022,99.3,
6391,89.73,
5534,88.13,
588,104.96,
5073,90,
415,104.38,
5141,88.26,
308,103.1,
5145,86.64,
333,104.15,
4559,87.14,
233,102.44,
4193,46.3,
266,87,
4651,90.1,
204,104.34,
4693,90.78,
246,106.96,
4660,89.37,
234,106.35,
4709,90.25,
231,105.3,
4587,88.72,
218,106.67,
4161,82.46,
213,103.92,
3906,77.44,
244,104.84,
3502,89.53,
199,104.76,
2951,98.31,
2396,100.64,
1769,100.95,
1346,97.52,
944,94.54,
753,96.18,
823,97.36,
1187,98.6,
3020,100.03,
5460,94.25,
5581,87.04,
434,103.43,
5098,90.96,
350,104.92,
4998,89.21,
277,103.49,
4429,85.37,
262,104.54,
4268,35.52,
283,90.95,
4429,83.4,
214,102.18,
4622,89.35,
234,104.9,
4427,89.3,
242,106.5,
4437,91.11,
228,106.07,
4490,90.84,
241,107.47,
4430,88.26,
220,107.99,
4399,80.08,
230,104.98,
3835,82.64,
249,104.11,
3508,88.67,
201,104,
3167,98.14,
2407,100.1,
1730,104.01,
1332,102.53,
974,100.38,
747,98.44,
755,97.96,
1140,101.51,
2888,101.49,
5431,93.8,
5522,87.93,
471,104.21,
5296,90.5,
306,104.77,
5165,89.39,
288,103.42,
4832,89.74,
269,102.87,
4928,89.26,
256,107.37,
4705,90.28,
200,103.78,
4720,91.19,
213,106.43,
4589,90.05,
228,104.29,
4471,91.1,
216,106.53,
4509,88.85,
224,104.79,
4609,87.71,
245,106.54,
4372,74.49,
256,104.38,
3905,77.82,
259,105.2,
3625,88.1,
204,104.14,
3118,96.91,
2527,92.46,
1960,94.32,
1407,97.48,
969,100.47,
814,99.87,
789,98.82,
1149,101.76,
2835,101.05,
5295,93.86,
5614,85.96,
504,103.62,
5201,90.87,
347,104.36,
5070,88.7,
289,103.37,
4922,88.16,
313,105.25,
4969,89.62,
291,105.7,
4888,87.23,
235,105.65,
4968,88.03,
244,105.36,
4409,92.26,
235,106.66,
4786,90.24,
219,105.71,
4689,92.49,
256,108.03,
4521,89.41,
210,107.16,
4369,79.02,
262,104.22,
3996,80.44,
286,104.07,
3585,89.83,
187,104.7,
3419,96.96,
2562,100.85,
1951,104.38,
1543,103.57,
1096,103.12,
808,101.81,
772,99.79,
1232,100.78,
2939,102.2,
5419,92.79,
5480,84.19,
485,102.79,
4945,93.01,
380,103.94,
5046,88.82,
303,104.01,
4916,89.25,
318,104.01,
4834,88.65,
263,106.87,
4878,90.37,
267,105.68,
4902,89.1,
279,105.67,
4901,89.72,
295,104.27,
5012,88.55,
305,104.33,
4999,91.07,
330,106.02,
4794,88.23,
303,106.87,
4876,78.85,
341,104.7,
4592,79.42,
368,103.32,
4322,84.84,
375,104.06,
4714,94.54,
3505,100.82,
2843,102.66,
1980,106.04,
1446,105.35,
1087,104.71,
1096,104.89,
1608,105.69,
3561,102.66,
5405,92.11,
5145,71.07,
771,94.3,
4886,82.81,
569,100.82,
4833,94.7,
476,104.44,
4525,93.99,
389,106.79,
4791,94.42,
373,107.62,
4936,92.43,
371,105.05,
4882,90.25,
368,105.38,
5229,81.47,
378,101.65,
4758,86.46,
405,101.99,
5279,81.98,
402,103.13,
5002,87.2,
382,106.08,
4810,82.55,
374,103.07,
4348,85.88,
300,105.06,
3884,91.26,
263,105.51,
3951,98.53,
3066,104.36,
2116,106.88,
1503,110.21,
986,112.48,
662,113.32,
693,110.78,
832,112.05,
1980,111.02,
3144,107.59,
3606,103.15,
397,106.82,
3870,102.54,
302,104.98,
4371,98.11,
273,105.66,
4703,96.68,
