T3 교통량,T5 교통량,T4
5000,5850,850
4388,4376,-12
393,792,399
3880,3723,-157
218,383,165
3855,3905,50
217,368,151
4112,4220,108
184,336,152
3856,3799,-57
212,373,161
3913,3407,-506
173,322,149
3764,3302,-462
193,322,129
3778,3504,-274
183,315,132
4112,3989,-123
184,336,152
3645,3685,40
180,312,132
3531,3501,-30
181,363,182
3494,3184,-310
207,383,176
2821,2501,-320
202,328,126
2264,2319,55
171,257,86
2344,2485,141
1555,1818,263
1079,1252,173
844,971,127
651,781,130
534,648,114
540,650,110
778,958,180
2101,2459,358
4618,5234,616
5071,5185,114
387,810,423
4761,5110,349
232,420,188
4664,5520,856
204,358,154
4660,5401,741
197,332,135
4149,4735,586
216,339,123
4659,5133,474
208,366,158
4415,4883,468
198,362,164
4403,5019,616
193,340,147
4418,4968,550
214,342,128
4410,4891,481
257,383,126
4184,4687,503
195,353,158
4071,3591,-480
184,358,174
3619,3105,-514
210,365,155
2767,2738,-29
154,290,136
2819,2962,143
1866,2511,645
1329,1863,534
1000,1422,422
733,747,14
548,544,-4
603,724,121
830,1005,175
2202,2611,409
4893,5591,698
5223,5524,301
371,721,350
5117,5513,396
261,456,195
4406,5289,883
230,393,163
4840,5402,562
229,419,190
4830,5399,569
182,353,171
3984,4569,585
177,279,102
4660,5165,505
214,360,146
4239,4742,503
210,343,133
4705,5174,469
196,368,172
4554,5058,504
229,365,136
4395,4903,508
227,410,183
4109,3805,-304
208,396,188
3457,3094,-363
237,378,141
3161,3018,-143
173,313,140
3061,3156,95
2241,2554,313
1402,1602,200
1140,1158,18
726,856,130
706,634,-72
715,666,-49
825,1013,188
2134,2482,348
4945,5661,716
5236,5542,306
392,810,418
5059,5429,370
259,402,143
4755,5343,588
229,328,99
4836,4966,130
235,360,125
4766,5340,574
234,349,115
4737,5225,488
193,273,80
4479,4909,430
192,296,104
4100,4654,554
212,279,67
4244,4777,533
199,301,102
4043,4458,415
218,310,92
4032,4170,138
221,374,153
3868,3491,-377
219,349,130
3524,2807,-717
238,357,119
3311,2986,-325
209,303,94
3020,3151,131
2246,2561,315
1392,1552,160
1000,1181,181
713,865,152
559,678,119
563,677,114
846,1016,170
2056,2329,273
4375,4881,506
4860,5090,230
390,723,333
4829,5099,270
254,440,186
3979,4717,738
206,349,143
4271,5003,732
241,408,167
4866,5487,621
204,403,199
4515,5166,651
202,355,153
4366,4986,620
210,372,162
4645,5369,724
214,362,148
4679,5263,584
239,396,157
4870,5387,517
245,422,177
4777,5289,512
274,512,238
4695,4645,-50
289,488,199
4192,3892,-300
316,512,196
4052,3887,-165
306,452,146
4029,4384,355
3041,3513,472
1787,2132,345
1293,1525,232
878,1078,200
663,811,148
630,775,145
766,1002,236
1728,2114,386
3175,3962,787
3920,4482,562
316,575,259
4549,5157,608
233,436,203
4809,5427,618
255,416,161
4835,5446,611
242,417,175
4851,5534,683
258,406,148
4739,5238,499
242,375,133
5022,5395,373
262,397,135
4796,5184,388
286,416,130
4637,4912,275
283,422,139
4939,5171,232
299,442,143
4623,4741,118
269,397,128
4341,4098,-243
247,383,136
3736,3702,-34
220,379,159
2998,3176,178
150,265,115
3129,3473,344
2434,2811,377
1433,1708,275
936,1082,146
558,674,116
437,502,65
317,411,94
419,522,103
888,1094,206
1674,2094,420
2133,2578,445
191,349,158
2614,3297,683
158,253,95
3436,4448,1012
171,276,105
3919,4962,1043
212,332,120
4373,4995,622
182,333,151
4257,4745,488
181,330,149
