교통량,평균속도,0010CZS420
190,103.4,
4946,78.44,
203,105.14,
5033,75.66,
218,102.59,
5042,75.37,
228,101.09,
4814,76.89,
222,102.51,
4292,78.73,
256,101.09,
4002,79.15,
309,101.17,
3241,82.16,
324,100.43,
3276,81.29,
323,99.93,
3895,84.2,
2940,86.21,
1924,87.03,
1404,84.64,
1045,84.85,
746,84.5,
675,87.01,
941,87.03,
1793,88.44,
2795,87.53,
3090,82.43,
256,102.83,
3442,82.56,
167,103.57,
4567,79.04,
195,103.57,
4873,78.98,
222,102.25,
4369,80.62,
200,104.13,
4251,82.08,
196,104.28,
4484,80.76,
217,104.37,
4487,82.01,
199,105.53,
4300,82.74,
186,104.91,
4039,82.74,
214,102.84,
3338,83.37,
168,103.09,
2554,83.4,
171,103.32,
2167,85.43,
181,103.44,
2142,85.54,
130,105.43,
2335,88.43,
1678,89.38,
1214,87.36,
953,89.06,
696,88.84,
564,85.65,
518,85.8,
767,87.85,
1735,87.97,
2745,85.47,
2789,80.96,
278,101.82,
3098,85.63,
162,103.66,
3725,83.31,
177,101.93,
4180,80.75,
200,102.95,
4763,79.28,
197,103.68,
4177,82.61,
177,105.62,
4289,82.54,
183,106.47,
4696,80.84,
196,106.07,
4572,80.68,
216,104.24,
4295,81.27,
204,103.55,
3849,81.61,
204,103.83,
2897,83.49,
187,103.53,
2286,85.02,
186,104.25,
2033,86.58,
135,104.3,
2198,90.11,
1643,89.17,
1116,89.01,
733,91.77,
535,91.63,
348,89.1,
372,88.85,
487,84.93,
865,88.22,
1675,87.15,
1893,86.17,
193,104.88,
2263,89.54,
146,104.37,
3050,86.48,
157,104.92,
3677,82.21,
170,103.87,
3919,80.65,
146,104.9,
3821,82.65,
179,102.83,
4347,82.18,
178,105.19,
4686,80.06,
202,103.94,
4730,80.19,
208,103.99,
4487,80.04,
203,103.86,
3857,81.66,
175,102.49,
3186,81.13,
214,103.8,
3174,82.08,
251,102.76,
3270,81.75,
199,102.96,
3633,86.61,
2858,87.57,
2116,84.04,
1289,84.92,
1009,80.17,
720,84.44,
843,83.2,
1748,86.36,
3640,87.15,
5886,77.99,
4142,35.92,
688,82.62,
4979,37.95,
314,95.69,
4398,72.88,
200,101.79,
4852,49.11,
203,94.82,
5007,68.22,
197,102.33,
4687,79.23,
176,104.13,
4171,81.48,
191,106.19,
4638,78.33,
164,105.58,
4858,84.53,
288,102.9,
4953,86.44,
311,103.41,
4633,85.21,
375,104.32,
3829,86.63,
378,102.69,
3101,89.28,
391,102.22,
3023,91.18,
309,103.13,
3167,97.53,
2481,97.54,
1704,96.9,
1323,94.47,
985,92.29,
790,90.02,
753,84.9,
1148,87.55,
2740,91.96,
5367,83.34,
4922,73.16,
755,94.44,
4910,76.87,
441,99.85,
5277,77.59,
436,96.99,
5579,77.93,
405,100.72,
5694,75.55,
355,103.38,
5553,71.5,
360,100.76,
5305,80.44,
363,100.27,
4897,80.58,
338,101.68,
4967,77.7,
353,101.51,
4706,80.18,
345,100.95,
4209,78.09,
411,98.81,
3257,79.8,
415,96.24,
2983,84.2,
402,98.24,
2832,84.59,
300,102.28,
3196,91.93,
2366,94.33,
1532,96.39,
1219,94.07,
903,93.52,
