교통량,평균속도
137,108.22
101,104.81
98,104.25
178,95.96
390,100.83
1153,98.52
1682,97.64
1752,96.75
2591,87.81
3479,73.53
3620,40.65
3547,40.67
3078,53.78
2873,75.59
3582,38.69
3391,63.11
2351,86.56
2146,88.88
2145,89.16
2215,89.64
1402,96.42
728,102.62
391,105.01
250,106.59
128,102.47
116,107.13
104,100.91
187,100.21
352,103
592,101.33
913,101.26
1516,96.19
2269,90.66
3340,71.12
3034,82.39
3392,77.61
3547,65.79
3105,80.01
3233,77.69
3003,82.77
2451,86.52
2006,90.85
2066,91.96
2312,89.22
1632,98.8
911,103.23
562,106.89
320,111.39
197,110.26
120,105.94
112,101.01
216,102.24
376,102.58
598,102.06
924,103.2
1453,98.76
1954,94.62
2236,90.69
2517,88.52
2805,85.41
2967,84.38
3420,70.26
3164,76.79
2836,84.7
2366,88.78
2212,89.78
2428,88.37
2224,92.16
1413,99.72
794,105.42
465,104.49
218,105.14
191,103.42
155,98.5
287,95.89
1019,94.76
2745,83.03
3696,67.78
3549,74.46
3419,75.19
3054,79.44
2900,81.18
2798,81.66
2730,82.61
2882,76.59
3114,68.25
3518,70.18
3883,47.09
3516,30.08
3531,33.05
3092,80.15
2821,84.84
2421,93.03
1175,101.66
671,104.78
370,104.44
258,107.07
196,100.02
284,99.11
932,96.85
2472,87.86
3869,69.46
3977,69.49
3747,71.98
3294,76.37
3105,71.5
2349,76.23
2972,54.77
3250,39.18
3433,48.97
3503,66.34
1122,54.21
1992,31.62
2827,78.1
2626,85.26
177,88.37
1011,72.48
3285,76.4
2827,80.72
2694,81.16
2861,78.74
2940,76.12
3104,74.85
3769,65.24
3909,48.87
3333,25.64
3407,31.44
3126,73.62
2986,82.4
2693,88.27
1417,101.2
741,105.78
417,103.07
318,102.15
212,100.82
285,97.42
844,97.44
2472,88.47
3879,74.66
3895,71.45
3556,73.9
3391,75.84
3611,65.43
3028,75.8
3084,77.5
3150,74.56
3243,73.01
3705,53.6
3817,39.29
3313,25.05
2865,20.84
3329,52.93
3059,81.77
2847,87.16
1582,99.19
818,103.77
479,104.64
311,103.5
226,96.39
295,97.9
905,96.34
2583,85.76
3827,74.13
3953,69.31
3612,73.15
3568,71.79
3545,73.45
3410,74.31
3399,73.18
3322,71.62
3711,62.36
3723,40.77
3463,28.24
3114,21.8
3058,21.18
3309,35.59
2904,80.61
2931,82.8
1706,95.88
858,103.08
585,103.44
384,103.16
301,99.72
321,97.71
836,96.35
1824,89.35
2009,89.02
2436,87.76
2836,84.41
3606,64.57
3717,53.14
3706,66.74
3626,62.55
3604,48.87
3611,50.31
3636,57.26
3481,45.44
3640,45.08
2952,72.86
2453,85.39
2313,89.23
2194,91.3
1215,101.51
690,106.97
387,106.11
249,107.81
177,105.32
178,98.91
378,100.32
791,99.95
896,98.97
1130,100.39
1754,94.3
2310,90.14
2696,86.02
2904,83.01
3193,78.78
3312,76.35
3392,76.26
3653,67.06
3606,50.26
2843,82.38
2413,87.38
2339,88.93
2232,91.73
1726,96.92
923,103.57
526,106.14
322,101.81
220,100.8
179,99.34
318,98.32
1214,96.57
3134,82.82
4096,47.01
3774,35.74
3728,69.88
3521,70.53
2851,81.5
3369,75.05
3440,72.94
3152,76.41
3516,68.86
3701,64.52
3901,42.94
3383,25.51
3425,29.06
3376,67.36
2988,78.87
2662,87.76
1345,101.55
701,106.63
416,104.85
267,105.18
192,105.19
275,97.03
958,98.04
2744,85.06
4083,46.56
3477,27.35
3728,38.69
3271,57.09
2919,62.85
3397,73.65
3499,69.03
3311,68.59
3464,69.69
3700,61.83
3804,39.89
3366,25.22
3425,28.34
3346,69.73
2934,83.36
2895,87.41
1476,100.93
11,117
57,116.81
146,117.64
218,103.87
306,97.27
943,97.47
2544,88.21
3790,77.79
3942,73.59
3942,60.03
3754,67.15
3680,66.34
3185,77.82
3395,74.21
3109,73.6
3227,64.53
3706,50.42
3721,34.99
3334,24.84
3454,30.55
3391,67.49
3130,81.76
2963,86.31
1585,100.41
848,106.61
486,106.55
298,105.48
228,102.6
295,98.58
967,97.29
2540,88.02
4033,72.49
3929,67.52
3793,71.83
3761,70.37
3829,44.43
3543,69.15
3380,73.5
3393,73.33
3693,58.69
3825,46.57
3862,39.45
3230,23.01
3256,25.63
3633,47.49
3237,79.75
2989,86.65
1724,99.86
832,106.88
522,105.1
307,104.92
251,102.59
331,99.05
986,97.07
2582,88.03
3888,74.86
3890,71.94
3760,70.33
3613,71.02
3349,75.55
3678,65.67
3749,43.6
3460,62.54
3717,40.53
3696,40.63
3404,26.83
3096,21.5
2492,14.68
3464,31.27
3372,58.57
3060,83.62
1941,95.9
1026,104.73
738,105.37
408,106.31
327,100.22
352,100.21
935,96.85
2057,91.1
2882,83.4
3366,78.4
3755,60.53
3736,59.22
3758,42.47
3388,35.18
3365,44.32
3260,29.47
3177,28.85
3095,23.87
3578,37.89
3396,30.86
3003,69.37
2930,79.14
2599,84.29
2510,88.22
1349,100.89
851,104.69
434,107.76
286,106.14
209,104.86
187,99.08
493,100.57
1007,97.43
1147,97.69
1328,97.65
2167,90.81
3133,79.78
3512,73.9
3835,46.43
3696,44.35
3659,42.11
3472,65.54
3684,43.08
3636,62.79
3290,74.42
2624,84
2333,88.33
2388,88.93
2113,93.7
1190,102.39
731,105
424,107.51
287,104.53
209,96.71
267,92.23
634,93.19
1199,88.62
1232,87.07
1302,86.97
1668,84.75
2115,79.31
2723,74.56
2871,72.43
2819,74.03
3141,69.05
3174,68.96
3279,57.28
3238,70.55
2465,78.61
2086,79.71
2009,82.79
1859,84.33
1550,86.23
769,92.07
458,96.01
242,98.27
207,98.28
163,97.51
268,96.17
1016,94.69
2955,80.61
4016,52.11
3584,48.64
3411,74.74
3191,78.36
3178,78.14
3186,76.66
3145,78.04
3000,78.48
3171,74.75
3328,74.44
3981,46.45
3681,33.13
3382,41.9
3247,76.37
2753,85.22
2687,88.59
1414,101.84
725,104.8
443,104.87
288,103.59
224,105.44
319,99.35
1007,96.15
2670,87.05
4195,65.4
3871,52.02
3841,64.7
3805,68.02
3104,76.21
2960,79.46
3345,74.47
2956,77.26
3200,74.18
3415,71.22
3945,46.06
3390,26.33
3454,31.61
3095,77.83
3096,81
2950,86.33
1660,99.84
836,106.6
453,104.73
284,106.18
189,103.47
344,100.92
1053,97.38
2820,82.76
3687,41.7
3793,73.16
3830,64.49
3323,74.89
3733,68.87
2993,78.68
3237,75.86
2989,75.47
3367,64.47
3745,63.52
3878,41.76
3452,27.42
3357,28.83
3031,79.4
3064,83.14
2979,87.01
1650,101.73
803,107.77
489,105.68
308,103.73
222,103.07
313,101.37
1075,97.25
2847,85.39
4140,71.16
3791,72.32
3784,71.63
3483,74.36
3069,79.67
3189,76.43
