교통량,평균속도,0010CZS440
335,103.51,
3510,96.33,
2490,97.49,
1608,91.84,
1218,88.74,
849,88.18,
744,86.94,
706,87.46,
1054,91.55,
2982,95.51,
5800,83.71,
5598,56.52,
784,88.78,
5856,43.26,
481,90.81,
5688,49.86,
464,89.83,
5597,40.94,
431,90.15,
5315,76.52,
352,92.83,
5186,76.62,
356,96.77,
5236,78.72,
376,98.09,
5015,78.81,
344,97.79,
5153,79.24,
332,97.73,
5045,78.04,
343,97.08,
4933,78.19,
388,98.88,
4583,81.08,
415,100.62,
4141,82.37,
446,100.81,
3955,84.38,
372,100.51,
3643,96.13,
2343,99.82,
1878,98.56,
1253,97.59,
967,95.45,
755,89.65,
717,90.18,
1061,92.66,
2756,93.97,
5375,82.61,
5303,71,
780,83.22,
5617,72.12,
411,92.45,
5464,75.96,
378,93.33,
5677,75.81,
389,92.55,
5475,73.63,
347,92.02,
5447,74.25,
346,94.66,
5455,78.93,
319,99.37,
5510,72.52,
379,94.35,
5297,71.86,
469,91.43,
5248,77.11,
402,96.84,
5017,78.58,
420,98.09,
4986,76.86,
477,99.64,
4606,80.2,
492,100.09,
4541,79.99,
513,98.56,
4677,90.82,
3374,97.35,
2218,100.56,
1632,98.32,
1151,96.86,
860,96,
749,96.47,
1056,98.17,
2202,98.74,
3450,95.47,
3458,87.41,
321,104.8,
3499,90.4,
231,103.19,
4395,86.73,
248,98.64,
5242,84.75,
311,91.69,
4700,87.29,
312,98.82,
5012,85.64,
299,99.39,
5354,84.18,
315,98.23,
5103,84.7,
273,106.77,
4888,85.51,
628,96.1,
4862,87.11,
328,103.01,
4248,86.87,
285,103.83,
3447,90.38,
279,104.36,
2858,92.13,
268,107,
2834,92.87,
232,106.09,
3022,99.53,
2107,102.39,
1504,103.11,
1125,100.87,
806,99.02,
618,96.54,
569,96.47,
860,97.99,
2161,99.68,
3443,95.86,
3374,87.22,
343,104.3,
3542,91.36,
282,102.74,
4336,87.27,
281,98.95,
4797,83.67,
300,100.85,
5388,79.83,
316,98.83,
5184,86.67,
270,96.84,
5210,79.05,
303,100.88,
5532,82.98,
308,100.86,
5405,82.21,
350,103.49,
5190,83.02,
335,103.14,
4699,84.25,
310,103.85,
3953,87.25,
293,104.74,
3245,92.07,
295,107.09,
2898,95.39,
244,107.54,
3056,100.62,
2101,102.76,
1360,106.53,
975,103.35,
643,102.22,
441,101.77,
408,99.92,
482,101.99,
988,102.81,
2008,99.95,
2293,95,
250,105.45,
2632,98.59,
215,103.13,
3509,94.89,
246,104.47,
4257,89.88,
287,97.34,
4543,85.73,
256,100.93,
4747,86.6,
280,99.56,
5189,84.67,
270,103.66,
5281,83.61,
364,101.71,
5517,84.16,
328,103.63,
5304,80.25,
338,100.82,
4557,86.26,
299,102.83,
4291,83.38,
345,104.22,
4126,86.96,
334,105.37,
4307,85.19,
297,106.7,
4505,98,
3272,101.11,
2056,104,
1260,102.3,
867,100.71,
632,99.87,
791,100.32,
1760,102.56,
4930,91.73,
6949,58.63,
5538,41.67,
871,75.02,
5296,66.69,
456,94.64,
5173,79.75,
376,96.51,
5657,67.32,
380,93.12,
5465,77.88,
334,95.52,
5291,80.34,
315,92.98,
4328,40.22,
385,85.61,
5012,79.53,
294,98.8,
5095,80.25,
368,101.41,
4990,81.49,
329,99.84,
4885,80.26,
349,100.19,
4553,81.95,
423,100.79,
4187,84.36,
425,101.52,
3440,90.59,
283,105.65,
3390,96.81,
2470,98.2,
1643,99.89,
1303,96.21,
966,95.19,
768,92.48,
843,92.6,
1107,93,
3069,93,
5684,75.4,
5370,43.6,
766,77.84,
5616,40.84,
490,91.09,
5420,64.13,
406,95.45,
5560,72.41,
371,95.98,
5498,49.6,
392,90.28,
5420,47.38,
417,93.06,
5171,78.08,
321,98.34,
4780,76.69,
338,97.21,
5006,75,
370,96.08,
4789,77.57,
310,97,
4639,75.53,
343,95.41,
4565,77.56,
413,100.17,
4221,79.1,
443,101.58,
3406,88.72,
330,103.05,
3417,95.34,
2365,98.41,
1577,99.17,
1205,96.74,
881,94.6,
690,93.27,
705,93.86,
1016,93.19,
2628,95.76,
5173,85.42,
5474,71.12,
771,88.81,
5347,78.19,
377,98.37,
